recordid,longitude,latitude,datetime,event_link,location
754,18.0864226,59.3454229,2020-10-28T00:00:00,https://www.facebook.com/events/3410593702321395/,POINT(18.0864226 59.3454229)
755,19.1310538,50.1425364,2020-10-28T00:00:00,https://www.facebook.com/events/s/spacer-po-ledzinach/2676827432591217/,POINT(19.1310538 50.1425364)
756,16.1991039,51.4006792,2020-10-28T00:00:00,https://www.facebook.com/events/374848490332214/,POINT(16.1991039 51.4006792)
757,22.2298,50.06824,2020-10-28T00:00:00,"https://www.lancut.gada.pl/aktualnosc,5481,0,0,0,Beda-tez-protestowac.html?fbclid=IwAR2TL-nEv0l0Mbu9jj70-RXXLQtCyi7vdw3TCAzpILjzrjq4NDuNWqMKXwM",POINT(22.2298 50.06824)
758,20.9832022,52.2545234,2020-10-28T00:00:00,https://www.facebook.com/events/845309842908113/,POINT(20.9832022 52.2545234)
759,22.5514106,51.2580573,2020-10-28T00:00:00,https://www.facebook.com/events/679732816305227/,POINT(22.5514106 51.2580573)
760,16.36644,52.22553,2020-10-28T00:00:00,,POINT(16.36644 52.22553)
761,20.5766449,51.6175744,2020-10-28T16:59:59.971,,POINT(20.5766449 51.6175744)
762,20.2558177,51.7626178,2020-10-28T00:00:00,https://www.facebook.com/events/368410721169667/,POINT(20.2558177 51.7626178)
763,19.040235,47.497912,2020-10-28T00:00:00,https://www.facebook.com/events/3181902651938783/,POINT(19.040235 47.497912)
764,22.72198,50.54099,2020-10-28T00:00:00,https://www.facebook.com/events/777052652880770/,POINT(22.72198 50.54099)
765,21.215337,51.976466,2020-10-28T00:00:00,https://www.facebook.com/events/640607879966496/,POINT(21.215337 51.976466)
766,23.17194,50.98411,2020-10-28T00:00:00,https://www.facebook.com/events/850641309087643/,POINT(23.17194 50.98411)
767,21.64911,51.159,2020-10-28T00:00:00,https://www.facebook.com/events/989152788252880/,POINT(21.64911 51.159)
768,19.2878584,54.0781672,2020-10-28T00:00:00,https://www.facebook.com/events/362586398413875/,POINT(19.2878584 54.0781672)
769,14.4378005,50.0755381,2020-10-28T00:00:00,https://www.facebook.com/events/392669088403969/,POINT(14.4378005 50.0755381)
770,17.0399113,51.1229714,2020-10-28T00:00:00,https://www.facebook.com/events/1238103536563863/,POINT(17.0399113 51.1229714)
771,19.58636,49.74127,2020-10-28T00:00:00,https://www.facebook.com/events/758417408067535/,POINT(19.58636 49.74127)
772,19.7584,50.37939,2020-10-28T16:00:00.029,https://www.facebook.com/events/719409585327140/,POINT(19.7584 50.37939)
